ID,DATE,TIME,ROLE,COMPANY_NAME,LOCATION,LINK
5752,2024-03-07,0 days 03:51:53,C++ Developer,iFlow Inc.,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/c%2B%2B-developer-at-iflow-inc-3847559545?position=1&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=3fueP8MDCb5k%2B9f5ZjJRnA%3D%3D&trk=public_jobs_jserp-result_search-card
5753,2024-03-07,0 days 03:51:53,C++ Development Specialist,KPIT,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/c%2B%2B-development-specialist-at-kpit-3843664510?position=2&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=M1lwARTU6BKyAGbzwaBO3Q%3D%3D&trk=public_jobs_jserp-result_search-card
5754,2024-03-07,0 days 03:51:53,C Developer,Zee Infoservices,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/c-developer-at-zee-infoservices-3847516954?position=3&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=OcvoYBwJ2Z7sJP%2BVXBZBqg%3D%3D&trk=public_jobs_jserp-result_search-card
5755,2024-03-07,0 days 03:51:53,C/C++ Developer - Video Streaming,ISparrow HR Solutions (Unit of iSparrow Services Pvt Ltd),"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/c-c%2B%2B-developer-video-streaming-at-isparrow-hr-solutions-unit-of-isparrow-services-pvt-ltd-3848411981?position=4&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=FnHJf5x%2FB8oyLGdYVVG6gA%3D%3D&trk=public_jobs_j
5756,2024-03-07,0 days 03:51:53,"Software Engineer (C,C++)",NetApp,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-c-c%2B%2B-at-netapp-3847944292?position=5&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=G3iYb%2Fe4WGxvhyjPdOJKsQ%3D%3D&trk=public_jobs_jserp-result_search-card
5757,2024-03-07,0 days 03:51:53,"Software Engineer (C/C++, Systems)",NetApp,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-c-c%2B%2B-systems-at-netapp-3847944345?position=6&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=4lcYTJHOvXZyxV5hnnkjAg%3D%3D&trk=public_jobs_jserp-result_search-card
5758,2024-03-07,0 days 03:51:53,Middle/Senior C++ Developer,FPT Software,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/middle-senior-c%2B%2B-developer-at-fpt-software-3843670231?position=7&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=dArxe%2BpD14GcaKz8qo7eBQ%3D%3D&trk=public_jobs_jserp-result_search-card
5759,2024-03-07,0 days 03:51:53,Founder's Office (Strategy) role - CTC upto 36 LPA,Talentiser,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/founder-s-office-strategy-role-ctc-upto-36-lpa-at-talentiser-3843648172?position=8&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=94cH9qr6UcEGUp9tHNyK7Q%3D%3D&trk=public_jobs_jserp-result_search-card
5760,2024-03-07,0 days 03:51:53,"Software Engineer (C, C++, File System and storage)",NetApp,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-c-c%2B%2B-file-system-and-storage-at-netapp-3847942685?position=9&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=fXnySYUVNMHhngEOv6fXvQ%3D%3D&trk=public_jobs_jserp-result_search-card
5761,2024-03-07,0 days 03:51:53,Delivery Director,Birlasoft,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/delivery-director-at-birlasoft-3844006836?position=10&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=u%2Fc3YRqxo9Jiem0FkSEVOA%3D%3D&trk=public_jobs_jserp-result_search-card
5762,2024-03-07,0 days 03:51:53,R&D Development Engineer (C++),Dassault Systèmes,Pune/Pimpri-Chinchwad Area,https://in.linkedin.com/jobs/view/r-d-development-engineer-c%2B%2B-at-dassault-syst%C3%A8mes-3797385377?position=11&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=x3P%2BpAiM3dDhTS4V6rxIZw%3D%3D&trk=public_jobs_jserp-result_search-card
5763,2024-03-07,0 days 03:51:53,Delivery Director,Birlasoft,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/delivery-director-at-birlasoft-3844010302?position=12&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=Afy%2Bqpl1Y2gZOj1eB83vCQ%3D%3D&trk=public_jobs_jserp-result_search-card
5764,2024-03-07,0 days 03:51:53,"Senior Engineer (C,C++)",NetApp,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-engineer-c-c%2B%2B-at-netapp-3847943470?position=13&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=oCccS%2BrtpHMOR2hL8v7a4w%3D%3D&trk=public_jobs_jserp-result_search-card
5765,2024-03-07,0 days 03:51:53,Senior C/C++ Engineer,EPAM Systems,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/senior-c-c%2B%2B-engineer-at-epam-systems-3725442330?position=14&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=eeBjw1kKUHJT4zLSwo6TMA%3D%3D&trk=public_jobs_jserp-result_search-card
5766,2024-03-07,0 days 03:51:53,C++/ Device development,Conduent,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/c%2B%2B-device-development-at-conduent-3847844665?position=15&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=mbj06znKhnIcDR1u%2BUfrnA%3D%3D&trk=public_jobs_jserp-result_search-card
5767,2024-03-07,0 days 03:51:53,Director - Consumer Strategy & Innovation,The Walt Disney Company,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/director-consumer-strategy-innovation-at-the-walt-disney-company-3809185610?position=16&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=5OH3KmMfN1mX%2F%2BIO5gMtnA%3D%3D&trk=public_jobs_jserp-result_search-card
5768,2024-03-07,0 days 03:51:53,"Senior Software Engineer (C, C++, File System/ Storage)",NetApp,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-software-engineer-c-c%2B%2B-file-system-storage-at-netapp-3847940656?position=17&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=%2FJA6J%2FOaOdyS1tsbR1RpiA%3D%3D&trk=public_jobs_jserp-result_search-card
5769,2024-03-07,0 days 03:51:53,Embedded Engr II,Honeywell,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/embedded-engr-ii-at-honeywell-3811875250?position=18&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=QRGRmmHVqNAGVDxgqSJjLw%3D%3D&trk=public_jobs_jserp-result_search-card
5770,2024-03-07,0 days 03:51:53,Engineer - Primary,GE Renewable Energy,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/engineer-primary-at-ge-renewable-energy-3826236475?position=19&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=6zABIY3%2B6QqFLEb3KPHXag%3D%3D&trk=public_jobs_jserp-result_search-card
5771,2024-03-07,0 days 03:51:53,Stanowisko ds. rozliczeń - Sokółka (lista kandydatów),ZUS,"West Bunghmun, Mizoram, India",https://in.linkedin.com/jobs/view/stanowisko-ds-rozlicze%C5%84-sok%C3%B3%C5%82ka-lista-kandydat%C3%B3w-at-zus-3848840678?position=20&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=vrFPAb64HFGlcWRyDuPBEQ%3D%3D&trk=public_jobs_jserp-result_search-c
