ID,DATE,TIME,ROLE,COMPANY_NAME,LOCATION,LINK
946,2024-03-07,0 days 03:51:54,C++/ Device development,Conduent,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/c%2B%2B-device-development-at-conduent-3847844665?position=15&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=mbj06znKhnIcDR1u%2BUfrnA%3D%3D&trk=public_jobs_jserp-result_search-card
947,2024-03-07,0 days 03:51:54,Product Management Associate,Indian Institute of Science (IISc),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/product-management-associate-at-indian-institute-of-science-iisc-3843682533?position=41&pageNum=0&refId=m76bdXrXJOj8Sq7dOD03jw%3D%3D&trackingId=DXhwGaCdVPj4Me2rx8qWAQ%3D%3D&trk=public_jobs_jserp-result_search-card
948,2024-03-07,0 days 03:51:54,Director - Software IOT Platform,Silicon Labs,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/director-software-iot-platform-at-silicon-labs-3792203806?position=49&pageNum=0&refId=s3bcFESoYeuVw2EPBEYIOA%3D%3D&trackingId=Q3or4YHSdXxtybAFx8L%2FQw%3D%3D&trk=public_jobs_jserp-result_search-card
949,2024-03-07,0 days 03:51:54,Senior Software Engineer,Allica Bank,India,https://in.linkedin.com/jobs/view/senior-software-engineer-at-allica-bank-3847569195?position=54&pageNum=0&refId=s3bcFESoYeuVw2EPBEYIOA%3D%3D&trackingId=qLiS9%2B4cOmZ9UxSMjaqSoA%3D%3D&trk=public_jobs_jserp-result_search-card
950,2024-03-07,0 days 03:51:54,Embedded AI/ML - SOC,Aptiv,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/embedded-ai-ml-soc-at-aptiv-3848186473?position=55&pageNum=0&refId=s3bcFESoYeuVw2EPBEYIOA%3D%3D&trackingId=aKhQLfJslk%2FBSySH20g6oQ%3D%3D&trk=public_jobs_jserp-result_search-card
951,2024-03-07,0 days 03:51:54,Embedded Application Software Developer,Sanchovni Solutions Pvt Ltd,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/embedded-application-software-developer-at-sanchovni-solutions-pvt-ltd-3843685480?position=56&pageNum=0&refId=s3bcFESoYeuVw2EPBEYIOA%3D%3D&trackingId=ykqHNG7w1CNn0kPTYfP6UQ%3D%3D&trk=public_jobs_jserp-result_search-card
952,2024-03-07,0 days 03:51:54,Embedded Software Engineer,RS Consulting,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/embedded-software-engineer-at-rs-consulting-3838380396?position=59&pageNum=0&refId=s3bcFESoYeuVw2EPBEYIOA%3D%3D&trackingId=nRGM%2FohmsY1jy7yulzlW1w%3D%3D&trk=public_jobs_jserp-result_search-card
953,2024-03-07,0 days 03:51:54,"Software Engineer II - C++, SQL",NCR Voyix,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-engineer-ii-c%2B%2B-sql-at-ncr-voyix-3812911780?position=60&pageNum=0&refId=s3bcFESoYeuVw2EPBEYIOA%3D%3D&trackingId=z4%2BHS9l6DJ1ZsJMV7JBcnw%3D%3D&trk=public_jobs_jserp-result_search-card
